x,y,feature_name,description,data_type,num_unique_values,percent_missing,examples,dataset_id
29.942913,21.799557,Cell_Shape_Uniformity,Indicates the uniformity of the shape of the cells in<br>a sample.,float64,16030,0%,"[1.0, 3.692777, 1.0, 6.089195, 1.0]",251
36.487007,18.590137,Marginal_Adhesion,"The level of adhesion of cells to one another, which<br>may indicate the aggressiveness of the tumor.",float64,13232,0%,"[4.498978, 1.0, 1.0, 1.0, 1.0]",251
39.903214,17.567661,Single_Epi_Cell_Size,The average size of a single epithelial cell.,float64,10910,0%,"[4.523877, 3.0, 2.0, 2.0, 8.301229]",251
31.952675,22.706778,Bare_Nuclei,Represents the number of bare nuclei in a cell nucleus.,float64,8561,0%,"[1.0, 1.0, 1.0, 1.0, 10.0]",251
30.876772,21.562422,Bland_Chromatin,Describes the uniformity of the chromatin in the cell nuclei.,float64,11991,0%,"[5.448254, 2.0, 3.0, 7.601751, 1.0]",251
31.150723,21.58496,Normal_Nucleoli,Indicates the normality of the nucleoli in the cells.,float64,11095,0%,"[1.0, 5.419773, 1.0, 1.0, 1.0]",251
45.981735,-13.366354,Mitoses,Indicates the number of mitoses (cell division) observed in a<br>tissue sample.,float64,2988,0%,"[1.0, 1.0, 1.0, 1.0, 1.0]",251
45.71503,33.213383,top-left-square,Indicates the symbol in the top-left square of a tic-tac-toe<br>game.,category,3,0%,"['x', 'x', 'x', 'b', 'x']",137
45.815,33.666878,top-middle-square,Indicates the symbol in the middle row and the middle<br>column of the tic-tac-toe game board.,category,3,0%,"['b', 'b', 'x', 'x', 'x']",137
45.674152,33.179276,top-right-square,Indicates the symbol used in the top-right square of a<br>tic-tac-toe game.,category,3,0%,"['x', 'b', 'o', 'b', 'b']",137
45.69248,33.527687,middle-left-square,Indicates the symbol in the middle-left square of a tic-tac-toe<br>game.,category,3,0%,"['b', 'o', 'x', 'o', 'o']",137
45.361725,34.146603,middle-middle-square,The value in the middle-middle square of a tic-tac-toe board.,category,3,0%,"['x', 'o', 'o', 'o', 'x']",137
44.86954,33.65612,middle-right-square,The middle-right-square feature represents the symbol placed in the middle-right<br>square of a tic-tac-toe game board.,category,3,0%,"['o', 'x', 'x', 'x', 'x']",137
44.738953,33.526127,bottom-left-square,The bottom-left-square feature represents the symbol in the bottom-left square<br>of a tic-tac-toe game board.,category,3,0%,"['b', 'b', 'x', 'o', 'o']",137
45.64207,33.50492,bottom-middle-square,Indicates the symbol in the bottom-middle square of a tic-tac-toe<br>game.,category,3,0%,"['b', 'x', 'o', 'o', 'b']",137
44.637142,33.634262,bottom-right-square,The bottom-right-square feature represents the value in the bottom-right square<br>of a tic-tac-toe board.,category,3,0%,"['o', 'o', 'b', 'b', 'x']",137
-26.53419,3.086327,V1,Unique identifier for each chorale in the dataset.,category,62,0%,"['003306b_', '012606b_', '000106b_', '015408b_', '013705ch']",4552
9.139135,27.269009,V2,Pitch class information for a given event in a chorale.,uint8,207,0%,"[74, 80, 87, 79, 14]",4552
8.628938,25.185574,V3,Indicates whether a specific pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', ' NO']",4552
9.008475,24.896496,V4,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', ' NO']",4552
9.377591,24.868706,V5,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', 'YES']",4552
9.008475,24.896496,V6,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', 'YES', 'YES', ' NO']",4552
9.420506,25.80641,V7,Indicates whether a pitch class is present in a given<br>event or not.,category,2,0%,"['YES', 'YES', ' NO', ' NO', ' NO']",4552
9.008475,24.896496,V8,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', ' NO']",4552
9.008475,24.896496,V9,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"['YES', ' NO', ' NO', 'YES', ' NO']",4552
9.008475,24.896496,V10,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', ' NO']",4552
9.569627,26.299292,V11,Presence or absence of a specific pitch class in a<br>given event.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', ' NO']",4552
9.261444,26.467262,V12,Indicates the presence or absence of a specific pitch class<br>in a given event of a chorale.,category,2,0%,"['YES', ' NO', ' NO', ' NO', 'YES']",4552
9.404799,26.188963,V13,Indicates the presence or absence of a specific pitch class<br>in a given event.,category,2,0%,"[' NO', ' NO', ' NO', ' NO', ' NO']",4552
9.008475,24.896496,V14,Indicates whether a given pitch is present in the event<br>or not.,category,2,0%,"['YES', ' NO', ' NO', 'YES', ' NO']",4552
9.149482,27.272161,V15,Pitch class of the bass note during the given event.,category,16,0%,"['B', 'E', 'C', 'G', 'A']",4552
-36.679142,-8.087034,V16,"Meter of the event, with lower numbers denoting less accented<br>events and higher numbers denoting more accented events.",uint8,5,0%,"[5, 4, 2, 2, 3]",4552
-24.602468,-16.862078,day,Represents the day of the year.,int64,365,0%,"[125, 181, 289, 81, 188]",45037
-41.68342,-30.215334,length,Represents the number of transactions that receive and distribute similar<br>amounts of coins in multiple rounds with newly created addresses<br>to hide the coin origin.,uint8,73,0%,"[16, 144, 0, 144, 144]",45037
-41.62981,-30.198858,weight,"Quantifies the merge behavior of transactions, where coins in multiple<br>addresses are each passed through a succession of merging transactions<br>and accumulated in a final address.",float64,9852,0%,"[1.0, 0.5, 0.075, 0.5, 0.5]",45037
-41.423443,-30.22802,count,Counts the number of transactions that have been merged into<br>a single address.,int64,3396,0%,"[2, 826, 1, 1624, 1]",45037
-41.561638,-30.221518,looped,"Number of transactions that split their coins, move them through<br>different paths, and merge them into a single address.",int64,1638,0%,"[2083, 0, 0, 0, 0]",45037
-39.888004,-30.366585,neighbors,Number of transactions involving the given Bitcoin address in a<br>24-hour time window.,int64,56,0%,"[6, 1, 1, 1, 1]",45037
-39.804153,-30.36291,income,Total amount of satoshis received by an address in a<br>day.,int64,16560,0%,"[1350000000, 212000000, 37564803, 54419927, 208000000]",45037
-43.21283,5.1239443,instance_id,Instance ID of the pre-marshalling problem.,object,527,0%,"['BF9_cpmp_16_8_77_16_47_10', 'cv_data5-7-37', 'cv_data4-6-3', 'cv_data4-4-19', 'BF6_cpmp_16_5_64_13_48_6']",41701
-34.995014,-2.5282822,repetition,Indicates the number of times a particular instance has been<br>repeated in the dataset.,uint8,1,0%,"[1, 1, 1, 1, 1]",41701
-42.36744,5.412503,stacks,Number of stacks in the container pre-marshalling problem.,uint8,10,0%,"[7, 16, 5, 4, 20]",41701
-42.42372,5.508994,tiers,Number of tiers in the container pre-marshalling problem.,uint8,4,0%,"[5, 6, 7, 5, 6]",41701
-40.166634,5.052556,stack.tier.ratio,Ratio of the number of containers in the stack to<br>the number of tiers in the stack.,float64,17,0%,"[0.3125, 0.5, 1.5, 1.0, 0.3125]",41701
-38.661797,4.198456,container.density,Density of containers in the current state.,float64,7,0%,"[0.6, 0.6, 0.714286, 0.714286, 0.666667]",41701
-41.10367,3.6777785,empty.stack.pct,Percentage of stacks that are empty.,float64,15,0%,"[0.0, 0.0, 0.0, 0.0, 0.0]",41701
-41.807358,4.7711596,overstowing.stack.pct,Percentage of overstowing stacks in the container pre-marshalling problem.,float64,22,0%,"[0.8125, 1.0, 1.0, 1.0, 1.0]",41701
-40.88326,4.305008,overstowing.2cont.stack.pct,Percentage of containers that are overstowed in the stack of<br>two containers.,float64,34,0%,"[1.0, 1.0, 1.0, 1.0, 0.916667]",41701
-38.51799,7.0189643,group.same.min,Indicates whether the minimum number of containers in a group<br>is the same as the minimum number of containers in<br>the next group.,uint8,2,0%,"[0, 1, 1, 1, 1]",41701
-38.44262,7.1010113,group.same.max,Indicates whether the maximum number of containers in a group<br>is the same or not.,uint8,12,0%,"[1, 1, 1, 1, 1]",41701
-38.969604,6.3363967,group.same.mean,The mean of the number of containers in the same<br>group as the target container.,float64,13,0%,"[4.61538, 2.28571, 1.0, 2.4, 4.52941]",41701
-39.974186,6.2566824,top.good.min,Indicates the minimum number of good containers in the top<br>row of the container stack.,uint8,8,0%,"[2, 3, 2, 2, 2]",41701
-40.212887,6.348925,top.good.max,Maximum number of good containers in the top stack of<br>a container configuration.,uint8,31,0%,"[11, 5, 9, 12, 17]",41701
-39.819664,5.818368,top.good.mean,Mean of the number of containers in the top row<br>of the container stacks.,float64,281,0%,"[5.41667, 10.1429, 11.7333, 6.25, 6.5]",41701
-39.91417,5.824364,top.good.stdev,Standard deviation of the number of containers in the top<br>row of the container stack.,float64,484,0%,"[6.74764, 2.02157, 4.99096, 4.65725, 2.5658]",41701
-40.897953,4.2668247,overstowage.pct,Percentage of containers that are overstowed.,float64,69,0%,"[0.486111, 0.36, 0.45, 0.457143, 0.45]",41701
-39.53882,4.9970813,bflb,Number of boxes that fit in the bottom layer of<br>a container.,uint8,49,0%,"[16, 36, 49, 49, 42]",41701
-38.70957,4.216781,left.density,Density of containers on the left side of the ship.,float64,215,0%,"[0.4, 0.555556, 0.285714, 0.333333, 0.333333]",41701
-41.70909,5.9075227,avg.l1.top.left.lg.group,The average of the L1 norm of the top left<br>group of containers in the container pre-marshalling problem.,float64,218,0%,"[0.421053, 0.368421, 0.823529, 0.842105, 0.863636]",41701
-40.012444,4.693926,pct.bottom.pct.on.top,Percentage of containers on the bottom layer that have containers<br>on top of them.,float64,22,0%,"[0.2, 0.75, 0.0, 0.0, 0.5]",41701
-42.81797,6.1453385,runtime,The runtime of an algorithm for solving the Container Pre-Marshalling<br>Problem (CPMP).,float64,408,0%,"[21.665, 49.343, 1.972, 55.319, 0.032]",41701
-28.4429,13.438294,runstatus,Indicates the status of the run of the algorithm.,category,1,0%,"['ok', 'ok', 'ok', 'ok', 'ok']",41701
-8.794931,-20.84009,longitude,Longitude of the centroid of each block group in California.,float64,844,0%,"[-122.24, -118.44, -117.11, -122.21, -117.23]",45578
-8.768999,-20.816149,latitude,Latitude of the centroid of the block group in California.,float64,862,0%,"[38.58, 40.63, 33.95, 33.84, 37.97]",45578
-7.312156,-24.058435,housingMedianAge,Median age of housing in a block group in California.,uint8,52,0%,"[35, 15, 25, 48, 10]",45578
-0.9557493,-28.877464,totalRooms,Total number of rooms in a block group.,float64,5926,0%,"[2639.0, 1177.0, 3003.0, 2492.0, 3061.0]",45578
-1.0733786,-28.90634,totalBedrooms,Total number of bedrooms in a block group.,float64,1928,0%,"[390.0, 1149.0, 393.0, 420.0, 851.0]",45578
-7.016033,-22.233227,population,Number of individuals living in a geographically compact area in<br>California.,float64,3888,0%,"[1960.0, 2085.0, 1204.0, 1481.0, 1779.0]",45578
-7.0409455,-22.22479,households,Number of households in a geographically compact area in California.,float64,1815,0%,"[463.0, 287.0, 456.0, 423.0, 1189.0]",45578
-6.9837065,-22.942543,medianIncome,Median income of individuals living in a geographically compact area<br>in California.,float64,12928,0%,"[10.7582, 2.4574, 2.0329, 4.4148, 3.017]",45578
18.550922,5.6597347,l,The feature represents the amount of metal used in the<br>casting process.,float64,54,0%,"[1.0, 0.75, 1.0, 0.25, 1.0]",1447
0.7084147,50.721092,ae,Acoustic emission (AE) is a phenomenon in which elastic or<br>stress waves are generated by a rapid release of energy<br>from a localized source.,uint8,27,0%,"[6, 1, 4, 2, 10]",1447
17.912209,5.7118187,ai,The artificial intelligence (AI) score of a cast metal.,float64,148,0%,"[35.0, 26.0, 67.0, 70.0, 22.0]",1447
18.545696,5.8180227,ak,The feature represents the amount of aluminum and potassium in<br>a cast metal sample.,float64,92,0%,"[50.0, 68.0, 52.0, 16.0, 21.0]",1447
-0.23382534,-3.3940222,am,Indicates whether the car is an automatic or manual transmission.,float64,144,0%,"[68.0, 19.0, 37.0, 240.0, 78.0]",1447
17.969233,5.6661696,ao,Amount of ambient occlusion in the cast metal.,float64,103,0%,"[9.0, 20.0, 32.0, 76.0, 64.0]",1447
-36.23271,-5.71473,impression,Indicates the number of times an ad was shown to<br>a user.,float64,99,0%,"[1.0, 1.0, 2.0, 1.0, 1.0]",42733
4.3891935,-24.929373,url_hash,This feature represents the hashed URL of a website.,float64,6941,0%,"[1.130902570404585e+19, 1.3311343438192927e+19, 8.415016803810862e+18, 1.4340390157469403e+19, 7.143518654485987e+18]",42733
-24.63078,0.118486255,ad_id,Unique identifier for each ad.,category,19228,0%,"['20802175', '20776019', '7785249', '20802241', '7978864']",42733
-24.558037,0.0030177706,advertiser_id,The unique ID of the advertiser.,category,6064,0%,"['32367', '27503', '37956', '23808', '33431']",42733
-43.927925,25.818007,depth,Depth of the tree used to generate the model.,uint8,3,0%,"[2, 2, 1, 2, 1]",42733
-16.554201,-4.5286474,position,Position of a player in a game.,uint8,3,0%,"[1, 2, 1, 1, 2]",42733
-24.981571,-1.5169215,query_id,The ID of the query used to retrieve the data.,float64,30748,0%,"[2368.0, 2061916.0, 12185142.0, 111629.0, 8006.0]",42733
-23.644392,2.8966432,keyword_id,This feature represents the unique identifier of the keyword associated<br>with the article.,category,19803,0%,"['66253', '2990', '214', '9392', '22']",42733
-24.092037,3.174883,title_id,This feature represents the title ID of a movie.,category,25321,0%,"['28', '18', '4293', '18', '352311']",42733
-25.498123,3.1352048,description_id,This feature represents the unique identification number of the description<br>of the dataset.,category,22381,0%,"['51342', '702', '191', '1079', '277902']",42733
-25.198633,1.1464689,user_id,Unique identifier for each user.,category,30114,0%,"['23118057', '8737236', '10763', '8526904', '555812']",42733
-6.3768964,-11.718913,ap,The average number of accidents per year in a specific<br>area.,float64,92,0%,"[14.0, 27.0, 15.0, 21.0, 24.0]",1446
-31.768099,-9.868591,Time,Time of a particular event.,float64,13261,0%,"[59801.0, 148655.0, 83871.0, 117880.0, 53881.0]",4154
-27.67739,18.039854,V28,The feature V28 is a numerical value that represents the<br>28th principal component of the dataset.,float64,13558,0%,"[-0.01937, -0.202555, 0.464226, 0.016398, 0.096125]",4154
-29.254879,-39.78595,Amount,The amount of money spent on a transaction.,float64,5425,0%,"[616.59, 92.93, 19.99, 111.32, 4.0]",4154
13.499809,-3.6732883,text,Lyrics of songs for the rock bands 'The Rolling Stones'<br>and 'Deep Purple'.,object,358,0%,"[""I stood under your bedroom window  \nThrowing up a brick  \nNo one came I threw one more  \nThat really did the trick  \nYour daddy came and banged my head  \nHe said what kind of man  \nIs this that's hanging 'round my girl  \nAnd threw me in the can  \nYou're a farmer's daughter  \nYou're a farmer's daughter  \nWhy do I always get  \nThe kinda girl I didn't oughta get  \nI won't get no more eggs and water  \nNow I've laid the farmer's daughter  \n  \nImagine I was a full-grown man  \nAnd I could talk just right  \nCould I come and see you here  \nAnd do this every night  \nWham! The door comes crashing down  \nYour daddy's face all pale  \nSays come with me you hairy bum  \nI'll put you in my jail  \nYou're a judge's daughter  \nYou're a judge's daughter  \nWhy do I always get  \nThe kinda girl I didn't oughta get  \nNow I'm getting jail and torture  \n'Cause I made the judge's daughter  \n  \nIt seems they're screaming law and order  \nWhen I go with anyone's daughter  \n  \nWoman I should like some peace  \nAnd daddy hold your tongue  \nI think you're gonna die of fright  \nWhen I tell you what I've done  \nI can hear your tales and lies  \nYou say I'm dumb and scraggy  \nBut man this dumb and scraggy is  \nYour daughter's baby's daddy  \nShe's a lucky daughter  \nSuch a lucky daughter  \nWhy did I always get  \nThe kinda girl I didn't want to get  \nNow I've got what I always fought for  \n'Cause I've married a rich man's daughter\n\n"", ""Worked the bars and sideshows along the twilight zone  \nOnly a crowd can make you feel so alone  \nAnd it really hit home  \nBooze and pills and powders, you can choose your medicine  \nWell here's another goodbye to another good friend  \n  \nAfter all is said and done  \nGotta move while it's still fun  \nLet me walk before they make me run  \nAfter all is said and done  \nI gotta move, it's still fun  \nI'm gonna walk before they make me run  \n  \nWatched the taillights fading, there ain't a dry eye in the house  \nThey're laughing and singing  \nStarted dancing and drinking as I left town  \nGonna find my way to heaven, 'cause I did my time in hell  \nI wasn't looking too good but I was feeling real well  \n  \nAfter all is said and done  \nI gotta move I had my fun  \nLet us walk before they make me run  \n  \nAfter all is said and done  \nI did alright, I had my fun  \nI will walk before they make me run\n\n"", ""Now if you want to hear some boogie like I'm gonna play  \nIt's just an old piano and a knockout bass  \nThe drummer's man's a cat they call Charlie McCoy  \nYou know, remember that rubber legged boy?  \nMama cookin' chicken fried and bacon grease  \nCome on along boys it's just down the road apiece  \n  \nWell there's a place you really get your kicks  \nIt's open every night about twelve to six  \nNow if you want to hear some boogie you can get your fill  \nAnd shove and sting like an old steam drill  \nCome on along you can lose your lead  \nDown the road, down the road, down the road apiece  \n  \nWell there's a place you really get your kicks  \nIt's open every night about twelve to six  \nNow if you want to hear some boogie you can get your fill  \nAnd shove and sting like an old steam drill  \nCome on along you can lose your lead  \nDown the road, down the road, down the road apiece\n\n"", ""(coverdale)  \nIf I could see before my time ends  \nThe smile you gave me before the pain  \nI could accept the world of darkness  \nNever see the sun again...  \nNever ever gonna leave ya,  \nSo dry your eyes and smile again  \nSay the words I need to hear...  \nSay you love me, say you love me  \nSay that you need me,  \nI can't take it anymore...  \nBut I know I must be strong,  \nTo keep belive in right or wrong...  \nI've got time but I can't wait too long  \nWanna get you home where you belong...  \nSay you love me, say you love me  \nI can't take it anymore...  \nSay you love me, baby, baby, baby  \nSay you love me...  \nSay that you need me, I can't take it anymore...  \nSay you love me, say you love me  \nI can't take it, I can't take it anymore...  \nSay you love me, oh baby  \nSay you love me...  \nSay that you need me, I can't take it anymore...  \nI can't take it anymore...  \n\n"", ""You go and I'll come with you little baby  \nYou go and I'll go with you little baby  \nYou go and I'll come with you  \nYou bet your life that I'll walk with you  \nYou go and I'll come with you little baby  \n  \nYou go to court and I'll come along  \nYou go to jail and I'll get your bond  \nYou got time tell you what I'll do  \nI'll stay outside and wait for you  \n  \nYou go and I'll come with you little baby  \nYou go and I'll go with you little baby  \nYou go and I'll come with you  \nYou bet your life that I'll walk with you  \nYou go and I'll come with you little baby  \n  \nYou go to church and I'll go there too  \nYou go to work tell you what I'll do  \nYou get paid and I'll hold the money  \nBe right there to protect you honey  \n  \nYou go and I'll come with you little baby  \nYou go and I'll go with you little baby  \nYou go and I'll come with you  \nYou bet your life that I'll walk with you  \nYou go and I'll come with you little baby  \n  \nYou get the fare I'll go the show  \nYou bet the horses and I'll pick up the  \nDough  \nYou work hard and it hurt my pride  \nI'll be there right by your side\n\n""]",41496
9.164054,2.7969313,Tempreture,The temperature of the engine in degrees Celsius.,float64,383,0%,"[35.29184, 36.265476, 37.662891, 37.648788, 37.16885]",4340
9.018728,0.6597904,Pump_Pressure,Pump pressure in an engine.,float64,91,0%,"[11.219238, 11.267578, 11.236816, 11.293945, 11.222168]",4340
9.281515,0.7091659,inlet_Pressure,The pressure of the air entering the engine.,float64,246,0%,"[4.14917, 4.172363, 4.215698, 4.199829, 4.271851]",4340
9.112258,0.64289415,Oulet_Pressure,Outlet pressure of the engine.,float64,382,0%,"[16.676924, 16.632746, 16.588947, 16.342985, 16.650343]",4340
8.3268585,-0.6772667,Flowrate,Flowrate of a simple engine.,float64,383,0%,"[275.571014, 290.407105, 278.217194, 277.075897, 283.000549]",4340
-4.4087896,-6.869171,ExternalRiskEstimate,This feature represents the external risk estimate of a customer.,float64,61,0%,"[68.0, 79.0, 89.0, 88.0, 72.0]",45554
-37.65313,-34.740993,MSinceOldestTradeOpen,The number of months since the oldest trade line was<br>opened.,float64,525,2%,"[192.0, 333.0, 75.0, 171.0, 271.0]",45554
-37.711994,-34.88635,MSinceMostRecentTradeOpen,The number of months since the most recent trade open.,int64,111,0%,"[23, 6, 4, 2, 4]",45554
-36.760365,-35.14215,AverageMInFile,The average number of months since the most recent account<br>was opened.,int64,236,0%,"[61, 177, 32, 77, 97]",45554
-39.18563,-36.001995,NumSatisfactoryTrades,Number of satisfactory trades on a credit line.,uint8,73,0%,"[19, 15, 32, 12, 26]",45554
-40.352913,-37.623566,NumTrades60Ever2DerogPubRec,Number of trades in the past 60 months that had<br>a derogatory public record.,uint8,18,0%,"[0, 1, 1, 5, 0]",45554
-40.351685,-37.642918,NumTrades90Ever2DerogPubRec,Indicates the number of trades with derogatory public records in<br>the last 90 days.,uint8,16,0%,"[0, 0, 0, 0, 0]",45554
-40.92761,-35.946014,PercentTradesNeverDelq,Percentage of trades that have never been delinquent.,uint8,71,0%,"[95, 67, 100, 100, 89]",45554
-39.000942,-39.2298,MSinceMostRecentDelq,This feature represents the number of months since the most<br>recent delinquency.,float64,85,49%,"[1.0, 10.0, 16.0, 8.0, 53.0]",45554
-39.180275,-39.326546,MaxDelq2PublicRecLast12M,This feature represents the maximum number of delinquencies in the<br>past 12 months on public records.,category,9,0%,"['7', '6', '6', '7', '7']",45554
-39.169487,-39.401,MaxDelqEver,This feature represents the maximum delinquency ever reported for a<br>borrower.,category,7,0%,"['8', '8', '8', '6', '8']",45554
-39.143227,-35.855488,NumTotalTrades,Number of total trades made by the borrower.,uint8,87,0%,"[29, 15, 43, 17, 42]",45554
-38.33561,-34.949863,NumTradesOpeninLast12M,Number of trades opened in the last 12 months.,uint8,18,0%,"[0, 1, 0, 8, 2]",45554
-41.034447,-35.06892,PercentInstallTrades,Percentage of trades that have been installed.,uint8,95,0%,"[20, 22, 71, 43, 14]",45554
-37.016464,-37.589615,MSinceMostRecentInqexcl7days,Number of months since most recent inquiry (excluding the last<br>7 days) for a home equity line of credit.,float64,26,24%,"[3.0, 14.0, 5.0, 0.0, 10.0]",45554
-37.352707,-37.122044,NumInqLast6M,Number of inquiries in the last 6 months.,uint8,26,0%,"[0, 2, 1, 0, 0]",45554
-37.213425,-37.3868,NumInqLast6Mexcl7days,"Number of credit inquiries in the last 6 months, excluding<br>the last 7 days.",uint8,26,0%,"[4, 3, 1, 3, 0]",45554
-33.167446,-40.218513,NetFractionRevolvingBurden,"NetFractionRevolvingBurden"" represents the fraction of the credit card balance for<br>all credit cards in relation to their credit limit.",float64,127,2%,"[21.0, 49.0, 14.0, 65.0, 9.0]",45554
-33.947353,-40.31665,NetFractionInstallBurden,The fraction of the borrower's monthly income that goes towards<br>paying off the home equity line of credit.,float64,138,35%,"[83.0, 84.0, 75.0, 100.0, 34.0]",45554
-39.820553,-35.315037,NumRevolvingTradesWBalance,Number of revolving trades with balance.,float64,30,2%,"[7.0, 4.0, 5.0, 10.0, 2.0]",45554
-39.94644,-35.289288,NumInstallTradesWBalance,Number of trades with balance.,float64,19,9%,"[1.0, 3.0, 2.0, 3.0, 2.0]",45554
-40.048054,-34.765404,NumBank2NatlTradesWHighUtilization,Number of trades with high utilization ratio.,float64,18,6%,"[6.0, 0.0, 3.0, 1.0, 0.0]",45554
-40.551044,-35.29489,PercentTradesWBalance,Percentage of trades with balance.,float64,94,0%,"[75.0, 60.0, 85.0, 75.0, 100.0]",45554
29.012918,7.943959,N0,Indicates the presence or absence of a specific genetic variant.,category,3,0%,"['1', '0', '0', '1', '1']",40646
31.497574,11.10419,N1,The number of the first gene involved in a 2-way<br>epistasis interaction.,category,3,0%,"['0', '0', '1', '0', '2']",40646
31.522877,10.511081,N2,Represents the second gene in a pair of genes that<br>interact to determine the presence of a disease.,category,3,0%,"['1', '0', '1', '0', '1']",40646
30.055145,7.4877615,N3,Indicates the presence or absence of a specific genetic mutation.,category,3,0%,"['1', '1', '0', '1', '0']",40646
29.677868,9.751182,N4,Indicates the presence of a specific allele in a gene.,category,3,0%,"['0', '1', '0', '0', '0']",40646
29.271568,8.7346945,N5,Indicates the presence of a specific genetic variant in a<br>gene.,category,3,0%,"['1', '1', '1', '1', '1']",40646
29.677794,9.7511,N6,Indicates the presence of a specific allele in a gene.,category,3,0%,"['0', '1', '1', '1', '1']",40646
30.509722,8.311495,N7,Indicates the presence of a specific genetic mutation in a<br>gene.,category,3,0%,"['1', '1', '1', '1', '0']",40646
30.534824,8.32182,N8,Indicates the presence of a specific genetic mutation in a<br>particular gene.,category,3,0%,"['0', '0', '0', '0', '0']",40646
30.056728,7.4858847,N9,Indicates the presence or absence of a specific genetic mutation.,category,3,0%,"['0', '0', '0', '0', '0']",40646
30.046669,8.240619,N10,Indicates the presence or absence of a specific genetic mutation<br>in a gene sequence.,category,3,0%,"['1', '0', '1', '1', '0']",40646
29.983765,8.094333,N11,Indicates the presence or absence of a specific genetic mutation<br>in a gene.,category,3,0%,"['1', '0', '0', '1', '0']",40646
30.05389,7.4876447,N12,Indicates the presence or absence of a specific genetic mutation.,category,3,0%,"['0', '1', '1', '0', '1']",40646
29.987444,10.702089,N13,The number of times a specific allele appears in a<br>gene pair.,category,3,0%,"['2', '1', '1', '1', '2']",40646
29.06315,8.433113,N14,Indicates the presence or absence of a specific genetic variant<br>in a gene.,category,3,0%,"['1', '1', '0', '1', '0']",40646
29.772678,10.519521,N15,Indicates the number of minor alleles present in a specific<br>gene.,category,3,0%,"['2', '0', '0', '0', '1']",40646
29.908272,13.493093,N16,Represents the number of non-ancestral alleles at the 16th locus.,category,3,0%,"['0', '2', '0', '1', '2']",40646
